"","CITY","STATE","PHYSICAL ZIP","POP","age0s","age10s","age20s","age30s","age40s","age50s","age60s","age70s","age80plus","type"
"13","SALMON BROOK","CT",NA,2428,9.6,12.2,7.6,9.6,10.4,17.2,14.5,10.3,8.5,"Rural"
"14","COMPO","CT",NA,3354,9.5,19,7.8,5.5,13.4,19.3,13.8,7.4,4.4,"Rural"
"15","CLAYTON","DE",NA,3961,14.7,17.7,11.4,14.3,15.3,12.1,8.6,4.5,1.5,"Rural"
"16","LONG NECK","DE",NA,3017,6,5.9,5.9,7.6,6.4,13.1,23.2,23.3,8.5,"Rural"
"17","WEST DELAND","FL",NA,3908,11.8,12.8,10.4,13,11,14.5,13.9,9,3.5,"Rural"
"18","HARBOR BLUFFS","FL",NA,2646,6.1,9.6,7.7,6,11.5,21,19.5,12.7,5.9,"Rural"
"19","MILLEN","GA",NA,2966,13.3,12.4,10.7,11.7,9.3,12.8,14.3,9.8,5.4,"Rural"
"20","MIDWAY","GA",NA,2141,14,14,14.4,14.7,11.5,16.1,10.4,3.4,1.6,"Rural"
"21","MAUNAWILI","HI",NA,2026,7.4,12,6.8,8.3,11.8,16.3,16.1,13.4,8.1,"Rural"
"22","HAWAIIAN BEACHES","HI",NA,3976,10.9,12.4,8.7,11.5,10.5,12.6,19.5,11,3,"Rural"
"23","ACKLEY","IA",NA,1599,11.1,12,10.1,11.8,7.9,12.7,14.4,10.1,9.8,"Rural"
"24","MITCHELLVILLE","IA",NA,2485,9,9.9,15.3,20.7,14.2,12.9,10,5.5,2.7,"Rural"
"25","SPIRIT LAKE","ID",NA,2337,13.1,13.8,10.1,12.6,12,13,15,7,3.1,"Rural"
"26","OSBURN","ID",NA,1567,11.7,11.6,8.1,9.7,10.5,15,16.3,12.1,5.1,"Rural"
"27","LE ROY","IL",NA,3512,13,14.6,10.4,12.3,14.4,13.6,10,7.5,4.1,"Rural"
"281","SESSER","IL",NA,1888,11.2,13.1,11.8,9.4,13.2,13,12.9,10.8,4.6,"Rural"
"291","OSSIAN","IN",NA,3266,12.6,13,12.9,12,10.8,12.3,12.1,8.8,5.8,"Rural"
"301","HEBRON","IN",NA,3755,12.5,16.1,12.2,13.9,13.4,12.1,11.3,6,2.5,"Rural"
"311","OAKLAWN-SUNVIEW","KS",NA,2880,16.8,16.5,13.4,14.5,11.2,10.8,10.3,4.8,1.8,"Rural"
"321","EDGERTON","KS",NA,1748,15.7,15.8,10.9,17.4,13.1,11.4,9,4.5,2.2,"Rural"
"33","STURGIS","KY",NA,1735,12.7,13.1,11,10.8,12,12.3,14.3,8.9,4.9,"Rural"
